name,type,website_url,region_code,locality,address,public_transit,map_link,artist_summary,visitor_summary,facebook,instagram,claim_status,claimed_by_user_id,normalized_url
HallSpace,gallery - non-profit,http://www.hallspace.org/,BOS,Boston,"950 Dorchester Ave, Boston, MA 02125",,https://www.google.com/maps?q=950%20Dorchester%20Ave%2C%20Boston%2C%20MA%2002125,Curated shows with occasional proposal opportunities.,Independent gallery presenting contemporary art in Dorchester.,,,unclaimed,,hallspace.org
13FOREST Gallery,gallery - commercial,https://13forest.com/,BOS,Arlington,"167A Massachusetts Ave, Arlington, MA 02474",,,Proposals accepted via email per ArtsArlington; details vary by show; confirm with gallery.,"Curated gallery presenting contemporary art and craft, with rotating 6-8 week exhibitions.",,,unclaimed,,13forest.com
Six Bridges Gallery,association,https://6bridges.gallery/,BOS,Maynard,"77 Main St, Maynard, MA 01754",Drive or FRTA bus,,Clear prospectus pages; standard 60/40 artist/gallery split on sales for many shows.,Co-op gallery with regular juried shows and strong local support.,,,unclaimed,,6bridges.gallery
Abbot Public Library (Marblehead) - Carten Gallery,library,https://abbotlibrary.org,BOS,Marblehead,"235 Pleasant St, Marblehead, MA 01945",MBTA bus (via Salem) + drive,,Gallery news via library channels; contact for proposal windows; details posted per show.,Reopened facility with the Carten Gallery hosting contemporary exhibits.,https://www.facebook.com/AbbotLibraryMarblehead/,https://www.facebook.com/AbbotLibraryMarblehead/,unclaimed,,abbotlibrary.org
Howard Yezerski Gallery,gallery - commercial,https://andersonyezerski.com/,BOS,,,,,,,,,unclaimed,,
The Art Complex Museum,gallery - non-profit,https://artcomplex.org/,BOS,,,,,,,,,unclaimed,,
The James Library & Center for the Arts,gallery - non-profit,https://artist.callforentry.org/festivals_unique_info.php?ID=15868,BOS,Norwell,"24 West Street, Norwell, MA 02061",,https://www.google.com/maps/search/?api=1&query=24+West+St+Norwell+MA+02061,Clear prospectus; professional handling; standard regional commission.,Small-town gem with monthly exhibits and well-juried seasonal shows.,,,unclaimed,,jameslibrary.org
Arlington Town Hall Galleries (ACAC),gallery - non-profit,https://artsarlington.org/call-for-artists/,BOS,Arlington,"730 Massachusetts Ave, Arlington, MA 02476",,https://www.google.com/maps?q=730%20Massachusetts%20Ave%2C%20Arlington%2C%20MA%2002476,Art shown: regional 2D/3D exhibitions in civic spaces; themes community-focused and contemporary. Scale small to medium with public building constraints; price band N/A; sales artist-direct if allowed.,Rotating exhibitions in Town Hall spaces curated by Arlington Commission for Arts & Culture; visible civic venue.,,,unclaimed,,artsarlington.org
Arts at the Armory, ,https://artsatthearmory.org/our-programs/rotating-exhibits/,BOS,Somerville,,,,No application fee; sales commission 20%; shows run ~1-2 months; typical scheduling 2-8 months out. Insurance: N/A in FAQ.,Community cafÃ©/gallery with rotating exhibits; steady event traffic.,,,unclaimed,,
Arts Collaborative Medford (ACM) - Gallery,gallery - non-profit,https://artscollabmedford.org/wmos-update,BOS,Medford,"48 Mystic St, Medford, MA 02155 (ACM HQ)",MBTA Bus; near Medford Square,,,,,,unclaimed,,artscollabmedford.org
The W Gallery (Arts Wayland),gallery - non-profit,https://artswayland.com/pages/on-line-submission-members-salons,BOS,Wayland,,,,Open calls for exhibits and markets; review each call page for fees and sales terms.,Community gallery with rotating exhibits and artisan markets; active local arts programming.,,,unclaimed,,artswayland.com
Atlantic Works Gallery,gallery - non-profit,https://atlanticworks.org/,BOS,Boston,"80 Border St, East Boston, MA 02128",,https://www.google.com/maps/search/?api=1&query=80%20Border%20St%2C%20East%20Boston%2C%20MA%2002128,Accepts proposals; member+guest formats; Third Thursday receptions.,Monthly exhibitions in a member-run gallery on East Boston's waterfront.,https://www.facebook.com/AtlanticWorksGallery/,https://www.facebook.com/AtlanticWorksGallery/,unclaimed,,atlanticworks.org
Attleboro Arts Museum,gallery - non-profit,https://attleboroartsmuseum.org/members-exhibition/,BOS,Attleboro,"86 Park St, Attleboro, MA 02703",,https://www.google.com/maps?q=86%20Park%20St%2C%20Attleboro%2C%20MA%2002703,Opportunities via juried calls and themed exhibits; terms vary per prospectus.,Regional museum with contemporary exhibitions and community programs.,,,unclaimed,,attleboroartsmuseum.org
Bacon Free Library (Natick),library,https://baconfreelibrary.org/artexhibitpolicy/,BOS,Natick,"58 Eliot St, Natick, MA 01760",,https://www.google.com/maps?q=58%20Eliot%20St%2C%20Natick%2C%20MA%2001760,Contact staff to propose exhibits; terms set by library policy.,Historic branch library hosting rotating displays.,,,unclaimed,,baconfreelibrary.org
Bedford Free Public Library,library,https://bedfordlibrary.net/events/art-exhibits/,BOS,Bedford,,,,Art shown: community 2D/photography and occasional craft depending on calendar. Themes often local/regional. Scale small to medium with library hanging systems; price band N/A (artist-direct if permitted).,Bedford Free Public Library - Exhibits hosts rotating community art displays; good local visibility.,,,unclaimed,,
Behind VA Shadows Gallery,gallery - non-profit,https://behindvashadows.com/,BOS,,,,,,,,,unclaimed,,
Belmont Public Library,library,https://belmontpubliclibrary.net/about/policies/exhibit-display-policy/,BOS,Belmont,"336 Concord Ave, Belmont, MA 02478",CR Fitchburg Line (Belmont Center) + bus,,,,,,unclaimed,,belmontpubliclibrary.net/about/policies/exhibit-display-policy
Beverly Public Library,library,https://beverlypubliclibrary.org/events/art-exhibits/,BOS,Beverly,"32 Essex St, Beverly, MA 01915",Commuter Rail (Newburyport/Rockport to Beverly),,Apply via Exhibit Application; library does not broker sales; artist handles inquiries.,Monthly exhibits in library spaces; free and open to the public.,,,unclaimed,,beverlypubliclibrary.org/events/art-exhibits
Boston Center for the Arts - Mills Gallery,gallery - non-profit,https://bostonarts.org/experiences/exhibitions/,BOS,Boston,"551 Tremont St, Boston, MA 02116",,https://www.google.com/maps?q=551%20Tremont%20St%2C%20Boston%2C%20MA%2002116,Art shown: contemporary exhibitions across media including installation and performance. Themes often socially engaged and experimental. Gallery scale; price band N/A; sales vary by program.,Flagship contemporary gallery at the BCA with artist programs and exhibitions; central to SoWa cluster.,,,unclaimed,,bostonarts.org
Brickbottom Gallery (Brickbottom Artists Association),association,https://brickbottom.org/open-studios-participants,BOS,Somerville,"1 Fitchburg St, Somerville, MA 02143",MBTA Orange Line (Sullivan) + walk/bus,,Accepting exhibition proposals (reviewed quarterly). Also gallery preview show during Open Studios.,Nonprofit gallery inside a historic live/work artist complex; monthly shows + annual Brickbottom Open Studios.,,,unclaimed,,brickbottom.org
Charles Fine Art,gallery - commercial,https://charlesfinearts.com/,BOS,,,,,,,,,unclaimed,,
Brighton Bazaar Night Market @ The Speedway,market,https://charlesriverspeedway.com/event/brighton-bazaar-night-market/,BOS,Allston-Brighton,,,,Apply via Linktree/IG. Fees vary by event (not centrally posted). Insurance: N/A. Lead time monthly/seasonal.,Night bazaars/pop-ups with 100+ vendors at the Speedway.,,,unclaimed,,
Chelmsford Art Society,association,https://chelmsfordartsociety.com/membership/,BOS,Chelmsford,Various venues (Chelmsford),,,Membership-based exhibiting; calls posted on site/social.,Local arts society producing member/juried exhibits and events.,,,unclaimed,,chelmsfordartsociety.com
Robert Collins Gallery of Fine Art,gallery - commercial,https://collinsgalleries.com/about,BOS,,,,,,,,,unclaimed,,
Concord Art (Concord Center for Visual Arts),gallery - non-profit,https://concordart.org/contact/,BOS,Concord,"37 Lexington Rd, Concord, MA 01742",,https://www.google.com/maps?q=37%20Lexington%20Rd%2C%20Concord%2C%20MA%2001742,"Frequent calls (e.g., juried shows); commission per prospectus.",Historic art center with strong exhibition program in Concord Center.,,,unclaimed,,concordart.org/contact
"David Hall Gallery, LLC",gallery - commercial,https://davidhallgallery.com/,BOS,,,,,,,,,unclaimed,,
Diesel Café,cafe-restaurant,https://diesel-cafe.com/,BOS,Somerville,,,,Displays local artists; submission details not fully public. Commission/fees/insurance: N/A. Lead time: scheduled.,Lively cafÃ© with rotating â€˜On View' art exhibits.,,,unclaimed,,
Langley Adams Library,library,https://docs.google.com/forms/d/e/1FAIpQLSd0MMT7TJMM-_9LxY7XmpzrWyTavhZPTYV_eCjpQATFjkc90A/viewform,BOS,Groveland,"185 Main St, Groveland, MA 01834",,https://www.google.com/maps?q=185%20Main%20St%2C%20Groveland%2C%20MA%2001834,Contact staff to inquire about availability.,Community displays at the public library.,,,unclaimed,,langleyadamslib.org
Dream House Gallery & Boutique,store,https://dreamhouserockport.com/,BOS,,,,,,,,,unclaimed,,
Harvard Ed Portal - Crossings Gallery,gallery - non-profit,https://edportal.harvard.edu/crossings-gallery,BOS,Allston-Brighton,,,,Periodic calls via Submittable; currently no open calls listed. Separate Artist Pipeline Program. Sales/commission: N/A public. Lead time per call.,Community gallery showcasing Allston-Brighton/Harvard/Boston artists with programs and talks.,,,unclaimed,,
Elleyo,store,https://elleyo.com/,BOS,JP,,,,,,,,unclaimed,,
Fiske Public Library (Wrentham),library,https://fiskelib.org/using-the-library/display-areas,BOS,Wrentham,,,,Art shown: community 2D/photography and occasional craft depending on calendar. Themes often local/regional. Scale small to medium with library hanging systems; price band N/A (artist-direct if permitted).,Fiske Public Library (Wrentham) - hosts rotating community art displays; good local visibility.,,,unclaimed,,
Flint Memorial Library (North Reading),library,https://flintmemoriallibrary.org/artist-of-the-month/,BOS,North Reading,"147 Park St, North Reading, MA 01864",,https://www.google.com/maps?q=147%20Park%20St%2C%20North%20Reading%2C%20MA%2001864,Contact staff for availability and guidelines.,Displays/exhibits in library spaces.,,,unclaimed,,flintmemoriallibrary.org
Folly Cove Fine Art,gallery - commercial,https://follycovefineart.com/,BOS,,,,,,,,,unclaimed,,
Franklin Public Library - Art Exhibition Program,library,https://franklinma.viewpointcloud.com/categories/1080/record-types/6558,BOS,Franklin,"118 Main St, Franklin, MA 02038",,https://www.google.com/maps?q=118%20Main%20St%2C%20Franklin%2C%20MA%2002038,Submit application via Franklin Culture site; policy governs selection and display.,Regular exhibits in the Community Room and library spaces.,https://www.facebook.com/FranklinLibraryMA/,,unclaimed,,franklinma.gov/241/library-policies-services
Gallery 263,gallery - non-profit,https://gallery263.org/,BOS,Cambridge,,,,"Submissions via juried calls and exhibition proposals (Submittable). Typical call fees in recent shows: $30 (Northeast Open), $60 (Cambridge Named). No commission on sales; 30% donation suggested. Insurance: N/A. Lead time: scheduled via call windows.","Independent nonprofit gallery showing regional & national contemporary art; intimate, focused exhibitions.",,,unclaimed,,
Gallery593 (Dedham Fine Art),gallery - commercial,https://gallery593.com/,BOS,,,,,,,,,unclaimed,,
The Gallery@57,gallery - commercial,https://galleryat57.com/artistinquiry/,BOS,Malden,"57 Pleasant St, Malden, MA 02148",MBTA Orange Line (Malden Center),,,,,,unclaimed,,galleryat57.com
Gallery Montanaro,gallery - commercial,https://gallerymontanaro.com/,BOS,,,,,,,,,unclaimed,,
Gateway Arts / Gateway Arts Studio & Shop,gallery - non-profit,https://gatewayarts.org/,BOS,,,,,,,,,unclaimed,,
Georgetown Peabody Library,library,https://georgetownpl.org/services/art-exhibits/,BOS,Georgetown,"2 Maple St, Georgetown, MA 01833",Drive; nearest rail: Haverhill Line (Bradford),,Submit via Artist Application Packet; exhibits typically run one month; sales handled by artist.,Town library with rotating art displays in public spaces.,https://www.facebook.com/GeorgetownPeabodyLibrary/,https://www.facebook.com/GeorgetownPeabodyLibrary/,unclaimed,,georgetownpl.org
Rise Art - Online Gallery,online,https://get.riseart.com/submit/art/,BOS,Online,,,,Submit to curated roster; platform takes ~40-42.5% commission on sales.,Online platform for original art sales and commissions.,,,unclaimed,,get.riseart.com/submit/art
Gleason Public Library (Carlisle),library,https://gleasonlibrary.org/what-we-offer/art-at-the-gleason/,BOS,Carlisle,"22 Bedford Rd, Carlisle, MA 01741",,https://www.google.com/maps?q=22%20Bedford%20Rd%2C%20Carlisle%2C%20MA%2001741,Contact library to propose exhibits; details on site.,Community exhibits in public areas.,,,unclaimed,,gleasonlibrary.org
Goodnow Library (Sudbury),library,https://goodnowlibrary.org/services/in-library/exhibits/,BOS,Sudbury,"21 Concord Rd, Sudbury, MA 01776",,https://www.google.com/maps?q=21%20Concord%20Rd%2C%20Sudbury%2C%20MA%2001776,Contact staff to propose exhibits; policies on site.,Rotating exhibits in library public spaces.,,,unclaimed,,goodnowlibrary.org
Groton Public Library,library,https://gpl.org/adults/art-gallery,BOS,Groton,,,https://www.google.com/maps?q=Groton%20Public%20Library%2C%20Groton%2C%20MA,Contact staff to request exhibit consideration.,Community exhibits/displays in library areas; active cultural programming.,,,unclaimed,,gpl.org
Griffin Museum of Photography,gallery - non-profit,https://griffinmuseum.org/membership-account/membership-levels/,BOS,Winchester,"67 Shore Rd, Winchester, MA 01890",,https://www.google.com/maps?q=67%20Shore%20Rd%2C%20Winchester%2C%20MA%2001890,"Frequent calls (e.g., Members' Juried); review individual prospectuses.",Renowned photography museum with multiple galleries and programs.,,https://www.instagram.com/griffinmuseum/,unclaimed,,griffinmuseum.org
Hanson Public Library,library,https://hansonlibrary.org/services/display-cases/,BOS,Hanson,,,,Art shown: N/A. Themes: N/A. Size/installation constraints: N/A. Beginner-friendly note: libraries often showcase emerging artists; specifics set by staff.,Hanson public library with community display areas; steady local foot traffic.,,,unclaimed,,
Haverhill Public Library,library,https://haverhillpl.org/exhibit-request/,BOS,Haverhill,"99 Main St, Haverhill, MA 01830",,https://www.google.com/maps?q=99%20Main%20St%2C%20Haverhill%2C%20MA%2001830,Contact library staff to request exhibit consideration.,Displays/exhibits appear in shared areas.,,,unclaimed,,haverhillpl.org
Helen Bumpus Gallery @ Duxbury Free Library,library,https://helenbumpusgallery.com/call-for-proposals,BOS,Duxbury,"77 Alden St, Duxbury, MA 02332",,https://www.google.com/maps?q=77%20Alden%20St%2C%20Duxbury%2C%20MA%2002332,Two-month exhibits; 60/40 artist/gallery split; gallery provides limited on-site insurance (per call).,Year-round exhibitions in the library's dedicated gallery; receptions common.,,,unclaimed,,helenbumpusgallery.com
Holmes Public Library,library,https://holmespubliclibrary.org/information/library-policies/,BOS,Halifax,,,,Email/call to discuss scheduling and terms.,Exhibit and display opportunities in library spaces.,,,unclaimed,,holmespubliclibrary.org
Hull Artists â€” Open Studios,association,https://hullartists.com/artist-membership/,BOS,Hull,,,https://www.google.com/maps?q=Hull%20Artists%2C%20Hull%2C%20MA,Participation is for member artists; buyers purchase directly at studios.,Self-guided tour of participating Hull Artists studios with work for sale.,,,unclaimed,,hullartists.com/open-studios
Hamilton Wenham Public Library,library,https://hwlibrary.org/library_art_display_information/,BOS,Hamilton/Wenham,"14 Union St, Hamilton, MA 01982",,https://www.google.com/maps?q=14%20Union%20St%2C%20Hamilton%2C%20MA%2001982,Fill out application; minimum work count and hanging specs noted in guidelines.,Two-month rotating displays by local artists in designated areas.,https://www.facebook.com/HamiltonWenhamLibrary/,,unclaimed,,hwlibrary.org/library_art_display_information
Jamaica Plain Open Studios,open studios,https://jpopenstudios.com/,BOS,Jamaica Plain,,,,2025 registration: $110 non-JP / $90 JP for individual sites; $200 / $150 for group sites. Sales direct to artists.,Neighborhood-wide open studios weekend; family-friendly.,,,unclaimed,,
Jules Place,gallery - commercial,https://julesplace.com/,BOS,,,,,,,,,unclaimed,,
Lanoue Gallery,gallery - commercial,https://lanouegallery.com/,BOS,,,,,,,,,unclaimed,,
Lincoln Public Library - Tarbell Room Gallery,library,https://lincolnpl.org/programs-events/art-gallery/,BOS,Lincoln,"3 Bedford Rd, Lincoln, MA 01773",,https://www.google.com/maps?q=3%20Bedford%20Rd%2C%20Lincoln%2C%20MA%2001773,Proposals accepted periodically; contact staff for details.,Library's Tarbell Room hosts art exhibitions with receptions.,,,unclaimed,,lincolnpl.org
Lynnfield Art Guild (LAG),association,https://lynnfieldarts.org/exhibits/,BOS,Lynnfield,"Lynnfield, MA (various venues)",,https://www.google.com/maps?q=Lynnfield%20MA,Membership-based exhibiting; occasional open calls posted on the site/social.,"Guild programming includes judged shows, member exhibits, and pop-ups.",https://www.facebook.com/lynnfieldartsguild/,,unclaimed,,lynnfieldarts.org
Malden Public Library / Converse Memorial Galleries,library,https://maldenpubliclibrary.org/services/rotating-art-exhibit/,BOS,,,,,,,,,unclaimed,,
Marblehead Arts Association (Hooper Mansion),association,https://marbleheadarts.org/calls-for-art/,BOS,Marblehead,"8 Hooper St, Marblehead, MA 01945",,https://www.google.com/maps?q=8%20Hooper%20St%2C%20Marblehead%2C%20MA%2001945,Open/member calls posted regularly; commission/fees vary by show.,Historic mansion with multiple galleries and strong seasonal traffic.,,,unclaimed,,marbleheadarts.org
Memorial Hall Library (Andover),library,https://mhl.org/exhibits,BOS,Andover,"2 North Main St, Andover, MA 01810",,https://www.google.com/maps?q=2%20North%20Main%20St%2C%20Andover%2C%20MA%2001810,Email/call to propose a show; policies via library site.,Rotating displays/exhibits in public areas.,,,unclaimed,,mhl.org
Milton Art Center - Gallery 334,gallery - non-profit,https://miltonartcenter.org/gallery334/,BOS,Milton,"334 Edge Hill Rd, Milton, MA 02186",Drive/MBTA bus,,Open calls for artists and curators; stipend available for curators. Terms (commission/insurance) vary by show; confirm on acceptance.,Community arts hub with Gallery 334 exhibitions and First Friday receptions; shows feature local emerging and established artists.,https://www.facebook.com/MiltonArtCenter/,https://www.instagram.com/miltonartcenter/,unclaimed,,miltonartcenter.org/gallery334
Morse Institute Library,library,https://morseinstitute.libguides.com/policies/exhibit,BOS,Natick,"14 E Central St, Natick, MA 01760",,,Follow exhibit policy and apply via the digital branch page.,Ongoing exhibits in multiple areas; teen and community shows included.,,,unclaimed,,morseinstitute.libguides.com/art-at-the-morse-institute
Multicultural Arts Center,gallery - non-profit,https://multiculturalartscenter.org/,BOS,Cambridge,,,,Curated program; proposals/partnerships considered case-by-case. Sales/commission: N/A. Fees: N/A. Insurance: N/A. Lead: curated season.,Restored courthouse turned arts center; curated visual art in Cambridge.,,,unclaimed,,
Nave Gallery,gallery - non-profit,https://navegallery.org/wp/call-for-art/,BOS,Somerville,,,,Exhibition proposals & frequent calls; typical submission fees ~$15-$25; commission ~30% on sales. Insurance: N/A. Lead time 1-3+ months.,"Community gallery with thematic, juried, and curated group shows.",,,unclaimed,,
National Center of Afro-American Artists (NCAAA),association,https://ncaaa.org/,BOS,,,,,,,,,unclaimed,,
Needham Art Association,association,https://needhamartassociation.org/naa-policies/,BOS,Needham,,,,Membership-based exhibiting; periodic open calls and off-site exhibits (policies vary by host).,Active association producing judged and member exhibits around MetroWest.,,,unclaimed,,needhamartassociation.org
Needham Library,library,https://needhamlibrary.org/services/general-services/art-and-exhibitions/,BOS,Needham,"1139 Highland Ave, Needham, MA 02494",MBTA bus; CR nearby (Needham Line),,,,,,unclaimed,,needhamlibrary.org/services/general-services/art-and-exhibitions
Newbury Town Library,library,https://newburylibrary.org/exhibits/,BOS,Newbury (Byfield),"0 Lunt St, Byfield, MA 01922",,https://www.google.com/maps?q=0%20Lunt%20St%2C%20Byfield%2C%20MA%2001922,Email the exhibit advisor to propose a show; scheduling is limited.,Art exhibits several times per year in the Community Room.,https://www.facebook.com/newburytownlibrary/,,unclaimed,,newburylibrary.org/exhibits
Newburyport Art Association,association,https://newburyportart.org/calls-for-art,BOS,Newburyport,"65 Water St, Newburyport, MA 01950",,https://www.google.com/maps?q=65%20Water%20St%2C%20Newburyport%2C%20MA%2001950,Frequent open/member calls; read each prospectus for fees/commission.,Active waterfront association with multiple galleries and nonstop exhibits.,,,unclaimed,,newburyportart.org
Newton Art Association,association,https://newtonartassociation.com/event/call-for-art-2025-members-show/,BOS,Newton,Various venues (Newton),,,Membership exhibits and periodic open calls; venue terms vary by host.,Active association mounting juried/member exhibits around Newton.,,,unclaimed,,newtonartassociation.com
Newton Free Library - Main Hall Exhibitions,library,https://newtonfreelibrary.net/about/more-information/art-exhibits/,BOS,Newton,"330 Homer St, Newton, MA 02459",MBTA Bus; parking onsite,,,,,,unclaimed,,newtonfreelibrary.net
North Shore Arts Association (NSAA),association,https://nsarts.org/member-info/become-a-member/,BOS,Gloucester,"11 Pirates Ln, Gloucester, MA 01930",,,Regular juried/member shows; prospectus PDFs posted with commission terms per show.,Historic Cape Ann association with nonstop seasonal exhibitions and sales.,,,unclaimed,,nsarts.org
"Out of the Blue, Too",gallery - non-profit,https://outoftheblueartgallery.com/,BOS,,,,,,,,,unclaimed,,
Peabody Institute Library (Peabody),library,https://peabodylibrary.org/2025winterfair/,BOS,Peabody,"82 Main St, Peabody, MA 01960",,https://www.google.com/maps?q=82%20Main%20St%2C%20Peabody%2C%20MA%2001960,Reach out to staff to schedule displays.,Community exhibits in library spaces downtown.,,,unclaimed,,peabodylibrary.org
Piano Craft Gallery (PCG),gallery - non-profit,https://pianocraftgallery.com/artistopportunities,BOS,Boston,"793 Tremont St, Boston, MA 02118",,https://www.google.com/maps/search/?api=1&query=793+Tremont+St+Boston+MA+02118,Regular open calls; strong emerging + mid-career mix; community-focused.,Volunteer-run contemporary art venue with rotating juried and curated exhibitions.,https://www.facebook.com/artpcgboston/,https://www.instagram.com/artpcgboston/,unclaimed,,pianocraftgallery.com
Southborough Library,library,https://piperlibraryfiles.com/ckfinder/connector?command=Proxy&lang=en&type=Southborough&currentFolder=%2FAbout%2F&hash=a8946682a2d45c402fa96faf0daee1b89c9373d5&fileName=slib_exhibitorpolicy_logo2022.pdf,BOS,Southborough,,,,Art shown: N/A. Themes: N/A. Size/installation constraints: N/A. Beginner-friendly note: libraries often showcase emerging artists; specifics set by staff.,Southborough public library with community display areas; steady local foot traffic.,,,unclaimed,,
Plymouth Public Library,library,https://plymouthpubliclibrary.org/art-gallery/,BOS,Plymouth,"132 South St, Plymouth, MA 02360",,https://www.google.com/maps?q=132%20South%20St%2C%20Plymouth%2C%20MA%2002360,Email/call to propose an exhibit; timing subject to calendar openings.,Large public library hosting rotating art displays in designated areas.,,,unclaimed,,plymouthpubliclibrary.org
Reading Public Library,library,https://readingpubliclibrary.org/wp-content/uploads/2024/12/Art-Exhibit-Policy-2025.pdf,BOS,Reading,"64 Middlesex Ave, Reading, MA 01867",Commuter Rail (Haverhill Line to Reading),,"Submit application per policy; library does not sell or insure; 2D works up to 60"" accepted.",Approved exhibits are displayed at main or branch library.,,,unclaimed,,readingpubliclibrary.org/wp-content/uploads/2024/12/art-exhibit-policy-2025.pdf
Rocky Neck Art Colony - Cultural Center,gallery - non-profit,https://rockyneckartcolony.org/become-a-member/,BOS,Gloucester,"6 Wonson St, Gloucester, MA 01930",,https://www.google.com/maps?q=6%20Wonson%20St%2C%20Gloucester%2C%20MA%2001930,"Art shown: contemporary regional exhibitions with juried shows and member showcases across painting, photography, and mixed media. Themes coastal/landscape to experimental depending on call/curator. Small-to-medium gallery scale; price band mid-range; sales through venue.",Historic artist colony with a cultural center gallery and seasonal programs; destination for Cape Ann art.,,,unclaimed,,rockyneckartcolony.org
Roslindale Open Studios,open studios,https://roslindaleopenstudios.org/artist-registration,BOS,Boston,Multiple sites across Roslindale (event),,https://www.google.com/maps/search/?api=1&query=Roslindale+Open+Studios,Registration-based event; some shared/group locations available for non-local artists.,"Walkable weekend of studios, pop-ups, and group sites; easy way to meet artists and buy direct.",https://www.facebook.com/RoslindaleOpenStudios/,,unclaimed,,roslindaleopenstudios.org
