name,type,website_url,region_code,locality,address,public_transit,map_link,artist_summary,visitor_summary,facebook,instagram,claim_status,claimed_by_user_id,normalized_url
Salem Arts Association,association,https://salemarts.org/calls_for_art,BOS,Salem,"159 Derby St, Salem, MA 01970",,https://www.google.com/maps?q=159%20Derby%20St%2C%20Salem%2C%20MA%2001970,Frequent open calls; review each prospectus for eligibility/fees.,Active downtown galleries with rotating juried/member exhibitions.,,https://www.instagram.com/salemartsassociation/,unclaimed,,salemarts.org/visit
Sawyer Free Library,library,https://sawyerfreelibrary.org/calendar/exhibits/,BOS,Gloucester,"2 Dale Ave, Gloucester, MA 01930",,https://www.google.com/maps?q=2%20Dale%20Ave%2C%20Gloucester%2C%20MA%2001930,Email/call staff to propose an exhibit; guidelines provided by library.,Historic public library with periodic art displays/exhibitions.,,,unclaimed,,sawyerfreelibrary.org
Scituate Town Library,library,https://scituatelibrary.org/about-us/policies-2/#1723753926519-4f5ce04b-a773,BOS,Scituate,"85 Branch St, Scituate, MA 02066",,https://www.google.com/maps?q=85%20Branch%20St%2C%20Scituate%2C%20MA%2002066,Display/exhibit policies maintained by the Library; contact staff for availability.,Library hosts exhibits in its gallery/meeting spaces; community-oriented shows.,,,unclaimed,,scituatelibrary.org
Sharon Public Library,library,https://sharonpubliclibrary.org/current-art-exhibits/,BOS,Sharon,"1 School St, Sharon, MA 02067",MBTA Commuter Rail (Sharon) + local access,,Submit via Request to Exhibit; library policy specifies exhibitor assumes liability; sales arranged directly with the artist (no library commission).,Library exhibition program with rotating displays; free public access during open hours.,https://www.facebook.com/SharonPublicLibraryMA/,https://www.instagram.com/sharonpubliclibrary/,unclaimed,,sharonpubliclibrary.org
Sherborn Library,library,https://sherbornlibrary.org/news-events/exhibits,BOS,Sherborn,,,,Contact staff for guidelines and dates.,Exhibit opportunities within the renovated town library.,,,unclaimed,,
Society6 (print-on-demand marketplace),online,https://society6.com/pages/artist-application,BOS,Online,,,,New artist sign-ups and uploads temporarily paused while platform restructures; commission/markup policy being revised by S6.,POD marketplace for art on prints/products (undergoing 2025 changes).,,,unclaimed,,
"Somerville Inside-OUT Gallery (CVS windows, Davis Square)",association,https://somervilleartscouncil.org/events/inside-out-gallery-exhibit-cvs-window/,BOS,Somerville,,,,Juried calls often tied to Somerville Open Studios members. Not a sales venue. Fees: none listed. Lead time per call.,Street-visible window gallery with themed exhibits; always on view.,,,unclaimed,,
Somerville Arts Council,gallery - non-profit,https://somervilleartscouncil.org/public-art/call-to-artist-metal-workers-sculptors/,BOS,Somerville,,,,"Art shown: multidisciplinary public art, pop-ups, and curated exhibitions with strong community themes. Genres span 2D/3D, performance, and media. Scale varies from storefront installations to street festivals; price band N/A (event/program-dependent).","City arts agency running festivals, public art, and exhibit opportunities (e.g., Windows, ArtBeat); multiple calls across the year.",https://www.facebook.com/SomervilleArts/,https://www.instagram.com/somervilleartscouncil/,unclaimed,,somervilleartscouncil.org
Stoneham Public Library,library,https://stonehamlibrary.org/events-programs/art-displays/,BOS,Stoneham,,,,Art shown: local/regional 2D displays; student/community themes. Small scale; price band N/A.,Downtown library with visible exhibit spaces; family programming draws visitors.,,,unclaimed,,stonehamlibrary.org
J. Todd Gallery,gallery - commercial,https://store.jtodd.com/,BOS,,,,,,,,,unclaimed,,
The Center for Arts in Natick (TCAN) - Summer Street Gallery,association,https://tcan.org/about-us/venues/summer-street-gallery/,BOS,,,,,,,,,unclaimed,,
TCAN - Summer Street Gallery,gallery - non-profit,https://tcan.org/community/visual-arts/,BOS,Natick,"14 Summer St, Natick, MA 01760",MBTA Commuter Rail (Natick Center) + walk,,Submit portfolio for solo-exhibit consideration; high visibility during performances.,Busy gallery inside a major regional arts venue with strong audience reach.,,,unclaimed,,tcan.org/community/visual-arts
The Brush Art Gallery & Studios,gallery - non-profit,https://thebrush.org/membership.htm,BOS,Lowell,"256 Market St, Lowell, MA 01852",,https://www.google.com/maps?q=256%20Market%20St%2C%20Lowell%2C%20MA%2001852,Open calls posted online; review each prospectus for fees/commission/insurance.,Nonprofit gallery with studios; frequent juried exhibitions and community shows.,https://www.facebook.com/TheBrushGallery/,,unclaimed,,thebrush.org
Danvers Art Association - Members' Gallery,association,https://thedanversartassociation.org/call-for-art,BOS,Danvers,"105 Elliott St, Danvers, MA 01923",,https://www.google.com/maps?q=105%20Elliott%20St%2C%20Danvers%2C%20MA%2001923,Join the association to participate in members' shows; watch site for any open calls.,Local association with a gallery and seasonal exhibits in a historic schoolhouse.,https://www.facebook.com/danversart/,,unclaimed,,danversart.org
The Local Hand,store,https://thelocalhand.shop/pages/art-show,BOS,,,,,,,,,unclaimed,,
The Umbrella Arts Center,gallery - non-profit,https://theumbrellaarts.org/arts-gallery,BOS,Concord,"40 Stow St, Concord, MA 01742",MBTA Commuter Rail (Concord) + walk,,Annual call invites proposals; occasional open calls; clear prospectus posted each cycle.,Multiple gallery spaces with curated and juried exhibitions; good regional draw.,,,unclaimed,,theumbrellaarts.org/arts-gallery
Thomas Crane Public Library,library,https://thomascranelibrary.org/call-for-public-art-exhibition/,BOS,Quincy,"40 Washington St, Quincy, MA 02169",MBTA Red Line (Quincy Center) + walk,,Active call for monthly exhibit slots; simple application; 2025 calendar reopened.,Reopened art exhibition program with rotating shows and public receptions.,,,unclaimed,,thomascranelibrary.org
Topsfield Town Library,library,https://topsfieldlibrary.org/art/,BOS,Topsfield,"1 South Common St, Topsfield, MA 01983",Drive; nearest Commuter Rail: Hamilton/Wenham or Ipswich,Submit per 'Art in the Library' guidelines; artist handles inquiries and sales; library does not insure work.,,Monthly exhibits in designated spaces; free public access.,https://www.facebook.com/TopsfieldTownLibrary/,https://www.facebook.com/TopsfieldTownLibrary/,unclaimed,,topsfieldlibrary.org
Two Boats Gallery,gallery - commercial,https://twoboatsgallery.squarespace.com/,BOS,,,,,,,,,unclaimed,,
Urban Media Arts (UMA),gallery - non-profit,https://urbanmediaarts.org/galleryuma/,BOS,Malden,"145 Pleasant St, Malden, MA 02148",MBTA Orange Line (Malden Center),,,,,,unclaimed,,urbanmediaarts.org/galleryuma
Urbano Project,association,https://urbanoproject.org/,BOS,Jamaica Plain / Roxbury,,,,Periodic calls for Artists-in-Residence/teaching artists. Compensation/fees/commission not posted; curated selection. Lead per call.,Community arts nonprofit elevating youth & social practice; exhibits & public art.,,,unclaimed,,
Waltham Public Library,library,https://waltham.lib.ma.us/exhibit-and-display-spaces/,BOS,Waltham,"735 Main St, Waltham, MA 02451",,Policy & application provided online; exhibits generally non-commercial.,,Library exhibit spaces feature local artists and community displays.,,,unclaimed,,waltham.lib.ma.us
Watertown Free Public Library - T. Ross Kelly Family Gallery,library,https://watertownlib.org/677/Gallery-Exhibition-Policy?contentId=87612739-ef9b-47a6-afae-734f14c0ed5b,BOS,Watertown,,,Follow the Gallery Exhibition Policy to propose exhibits; scheduling managed by the library.,,Monthly exhibits on the 2nd floor in a dedicated gallery space.,,,unclaimed,,watertownlib.org/677/gallery-exhibition-policy
Wayland Free Public Library,library,https://waylandlibrary.org/about/policies/exhibit-policy/,BOS,Wayland,"5 Concord Rd, Wayland, MA 01778",,Contact staff per policy; terms and dates vary.,,Exhibits/displays in designated rooms and corridors.,,,unclaimed,,waylandlibrary.org
West Bridgewater Public Library,library,https://westbpl.org/wbpl-gallery/,BOS,West Bridgewater,,,Propose via staff; simple terms; artist handles inquiries.,,Community exhibits/displays at the town library.,,,unclaimed,,westbpl.org
Weston Public Library,library,https://westonlibrary.org/1535/Art-Gallery,BOS,Weston,"87 School St, Weston, MA 02493",,https://www.google.com/maps?q=87%20School%20St%2C%20Weston%2C%20MA%2002493,Email/call to propose a display; staff schedules calendar.,Community exhibits in public areas of the library.,,,unclaimed,,westonlibrary.org
Winthrop Art Association - Annual Spring Festival & Gallery,association,https://winthropartassociation.org/?page_id=867,BOS,Winthrop,"Various sites; Winthrop, MA",,https://www.google.com/maps?q=Winthrop%20MA,Membership exhibits and annual festival calls; check site for prospectuses.,Annual judged exhibition and community arts events by a longstanding association.,,,unclaimed,,winthropartassociation.org
Winthrop Public Library & Museum,library,https://winthroppubliclibrary.org/adult-programming/art-exhibits/,BOS,Winthrop,"2 Metcalf Square, Winthrop, MA 02152",,https://www.google.com/maps?q=2%20Metcalf%20Square%2C%20Winthrop%2C%20MA%2002152,Contact staff regarding exhibit policies and availability.,Historic library & museum with occasional art displays.,,,unclaimed,,winthroppubliclibrary.org
Woburn Guild of Artists,association,https://woburnguildofartists.weebly.com/benefits.html,BOS,Woburn,,,,Join as a member to participate in programs and annual exhibits; details posted on the site.,Local art association hosting demonstrations and seasonal member exhibitions.,,,unclaimed,,woburnguildofartists.weebly.com
Woburn Public Library - Program Room Gallery,library,https://woburnpubliclibrary.org/display-your-artwork/,BOS,Woburn,,,,Apply online; library does not handle sales or insure work; artists manage transactions and logistics.,Monthly exhibitions in the Program Room; free public access.,,,unclaimed,,woburnpubliclibrary.org/display-your-artwork
4th Floor Artists Open Studios @ Sandpaper Factory,open studios,https://www.4thfloorartists.com/,BOS,Rockland,"83 East Water St, Rockland, MA 02370",,https://www.google.com/maps?q=83%20East%20Water%20St%2C%20Rockland%2C%20MA%2002370,Primarily for resident artists across Sandpaper Factory/ET Wright/Arnold Shoeworks; join 4FA for participation.,Bi-annual open studios in a historic mill; meet artists and buy directly.,https://www.facebook.com/4thFloorArtists/,,unclaimed,,4thfloorartists.com
Arlington Center for the Arts (ACA) - Gibbs Gallery,association,https://www.acarts.org,BOS,Arlington,"20 Academy St, Arlington, MA 02476",MBTA Bus; near Mass Ave,,,,,,unclaimed,,acarts.org
Arlington Open Studios (ACA),open studios,https://www.acarts.org/arlington-open-studios,BOS,Arlington,Arlington Town Hall & Central School + satellite sites,MBTA Bus along Mass Ave,,,,,,unclaimed,,acarts.org/arlington-open-studios
Acton Memorial Library - Meeting Room Gallery,library,https://www.actonmemoriallibrary.org/services/art-exhibitions/,BOS,Acton,"486 Main St, Acton, MA 01720",MBTA Commuter Rail (South Acton) + bus/ride,,Annual call invites MA artists for solo shows; straightforward application and schedule.,Monthly exhibits in the library's Meeting Room Gallery with artist receptions.,,,unclaimed,,actonmemoriallibrary.org/services/art-exhibitions
Artfinder (online marketplace),online,https://www.artfinder.com/sell/#/,BOS,Online,,,,Commission 40-45% depending on seller plan. Listing is free. Lead time ongoing.,Curated online marketplace for original art (EU/US).,,,unclaimed,,
Artisans Asylum (makerspace),association,https://www.artisansasylum.com/gallerya2,BOS,Boston (Allston),,,,Opportunities are program-based; inquire for proposals and exhibit windows.,Large makerspace with occasional galleries/exhibitions and public events.,,,unclaimed,,artisansasylum.com
Artisans Way,store,https://www.artisansway.net/,BOS,,,,,,,,,unclaimed,,
ArtLifting (corporate & retail),gallery - non-profit,https://www.artlifting.com/,BOS,Online/Corporate,,,,Artist earnings model: 55% of profit to artist; 1% to art groups; remainder to operations. Intake via partner programs; curated.,Social enterprise placing art by artists impacted by homelessness/disability with corporate & retail buyers.,,,unclaimed,,
Arts League of Lowell - ALL Arts Gallery,association,https://www.artsleagueoflowell.org/gallery/,BOS,Lowell,"307 Market St, Lowell, MA 01852",,https://www.google.com/maps?q=307%20Market%20St%2C%20Lowell%2C%20MA%2001852,Membership and open calls are posted regularly; read each call for terms.,Active association gallery with frequent themed juried shows.,https://www.facebook.com/artsleagueoflowell/,,unclaimed,,artsleagueoflowell.org
Plymouth Center for the Arts,association,https://www.artsplymouth.org/future-exhibits,BOS,Plymouth,"11 North St, Plymouth, MA 02360",,https://www.google.com/maps?q=11%20North%20St%2C%20Plymouth%2C%20MA%2002360,Open calls throughout the year; commissions/fees vary by show.,Busy nonprofit gallery complex hosting frequent juried/member exhibitions.,,,unclaimed,,artsplymouth.org
Ashland Public Library,library,https://www.ashlandmass.com/589/Art-in-the-Library,BOS,Ashland,"66 Front St, Ashland, MA 01721",,https://www.google.com/maps?q=66%20Front%20St%2C%20Ashland%2C%20MA%2001721,Exhibit policy in effect; exhibits of a purely commercial nature are not accepted.,Rotating community exhibits in library spaces.,https://www.facebook.com/AshlandPublicLibraryMA/,,unclaimed,,ashlandmass.com/184/ashland-public-library
A Z Fine Arts Gallery,store,https://www.azfineartgallery.com/,BOS,,,,,,,,,unclaimed,,
Belmont Gallery of Art (BGA),association,https://www.belmontgallery.org/,BOS,,,,,,,,,unclaimed,,
Belmont Gallery of Art (BGA),gallery - non-profit,https://www.belmontgallery.org/category/artist-calls-and-info/artist-calls-and-info-current/,BOS,Belmont,"Homer Municipal Building, 19 Moore St (3rd floor), Belmont, MA 02478",MBTA Commuter Rail (Belmont Center),,,,,,unclaimed,,belmontgallery.org
Gallery @ BMC,association,https://www.belmontmedia.org/gallery,BOS,,,,,,,,,unclaimed,,
Beth Urdang Gallery,gallery - commercial,https://www.bethurdanggallery.com/index.html,BOS,,,,,,,,,unclaimed,,
BHCC Art Galleries (Bunker Hill Community College),gallery - non-profit,https://www.bhcc.edu/artgallery/,BOS,Boston,"250 New Rutherford Ave, Boston, MA 02129",,https://www.google.com/maps?q=250%20New%20Rutherford%20Ave%2C%20Boston%2C%20MA%2002129,Art shown: contemporary exhibitions across 2D/3D and lens-based media. Themes vary by curator and program. Gallery scale; sales N/A unless show-specific.,On-campus galleries with contemporary exhibitions and student/faculty shows; short walk from Community College station.,,,unclaimed,,bhcc.edu
Black Owned Bos. - Seaport Market (season),market,https://www.blackownedbos.com/vending,BOS,Boston (Seaport),"111 Harbor Way, Boston, MA 02210",MBTA Silver Line (Courthouse/Seaport),,,,,,unclaimed,,blackownedbos.com/vending
Bolton Public Library,library,https://www.boltonpubliclibrary.org/art-gallery,BOS,Bolton,,,,Art shown: N/A. Themes: N/A. Size/installation constraints: N/A. Beginner-friendly note: libraries often showcase emerging artists; specifics set by staff.,Bolton public library with community display areas; steady local foot traffic.,,,unclaimed,,
Boston City Hall Galleries (Mayor's/Scollay Sq),gallery - non-profit,https://www.boston.gov/departments/arts-and-culture,BOS,Boston,"1 City Hall Square, Boston, MA 02201",,https://www.google.com/maps?q=1%20City%20Hall%20Square%2C%20Boston%2C%20MA%2002201,Periodic calls via the Mayor's Office of Arts & Culture; sales vary by show.,City-run gallery spaces with rotating exhibitions in City Hall.,,,unclaimed,,boston.gov/arts-culture
Boston Art (consultancy),online,https://www.bostonartinc.com/,BOS,Online/Corporate,,,,"Accepts portfolio submissions (CV, statement, price list, images). Commission/fees not posted. Lead time project-based.","Established consultancy curating/inÂ­stalling art for corporate, healthcare, hospitality, residential.",,,unclaimed,,
Boston Cyberarts Gallery,gallery - non-profit,https://www.bostoncyberarts.org/,BOS,,,,,,,,,unclaimed,,
Boston Sculptors Gallery  LaunchPad,gallery - non-profit,https://www.bostonsculptors.com/,BOS,Boston - South End,,,,LaunchPad solo: $605 exhibition fee; sales split 60% artist / 40% gallery; hand delivery required. Calls open periodically.,Sculpture gallery hosting member & guest shows; LaunchPad for non-members.,,,unclaimed,,
Bromfield Gallery,gallery - non-profit,https://www.bromfieldgallery.com/artist-opportunities,BOS,Boston,"450 Harrison Ave, Boston, MA 02118",,https://www.google.com/maps?q=450%20Harrison%20Ave%2C%20Boston%2C%20MA%2002118,Membership and visiting-artist submissions by email; see site for specs.,Historic artist-run gallery in SoWa with monthly shows.,,https://www.instagram.com/bromfieldgallery/,unclaimed,,bromfieldgallery.com
Brookline Public Library - Main Library/Hunneman Hall & cases,library,https://www.brooklinelibrary.org/events/exhibits/,BOS,Brookline,"361 Washington St, Brookline, MA 02445",MBTA Green Line (D) Brookline Village,,,,,,unclaimed,,brooklinelibrary.org
Burlington Public Library,library,https://www.burlingtonpubliclibrary.org/403/Apply-for-the-Display-Cases-or-Art-Galle,BOS,Burlington,,,,Art shown: community 2D/photography displays; themes vary. Small-to-medium scale; price band N/A.,Suburban library with display walls/cases and steady traffic.,,,unclaimed,,burlingtonpubliclibrary.org
Cambridge Art Association - Kathryn Schultz & University Place Galleries,association,https://www.cambridgeart.org/,BOS,Cambridge,,,,"Open calls (e.g., National Prize Show) and member shows. Sales commission varies: Non-member 50% to gallery; Artist Member 33% to gallery (artist keeps 67%). Fees vary by call (e.g., NPS $30 member). Insurance: N/A. Lead time per show.","Artist-membership nonprofit with two galleries; juried, member, and prize shows.",,,unclaimed,,
Cambridge Arts River Festival,market,https://www.cambridgema.gov/arts/Programs/riverfestival/vendorscommunitytables,BOS,Cambridge,"Cambridge, MA (festival route varies)",,https://www.google.com/maps?q=Cambridge%20River%20Festival%20Cambridge%20MA,Annual vendor and exhibit calls; review the call each season for terms/eligibility.,"Large outdoor arts festival with artists' market, stages, and public art.",https://www.facebook.com/CambridgeArtsCouncil/,,unclaimed,,cambridgema.gov/arts/programs/riverfestival
Cambridge Arts,public art,https://www.cambridgema.gov/arts/publicart,BOS,Cambridge,"344 Broadway, Cambridge, MA 02139",,https://www.google.com/maps?q=344%20Broadway%2C%20Cambridge%2C%20MA%2002139,Central page for current calls and artist resources; eligibility varies by project.,"City arts agency producing exhibitions and public art (Gallery 344, projects, festivals).",,,unclaimed,,cambridgema.gov/arts
Cambridge Arts - Gallery 344,gallery - non-profit,https://www.cambridgema.gov/arts/publicart/gallery344,BOS,Cambridge,,,,Curated by Cambridge Arts. No regular open submissions; sales not the focus. Commission/fees/insurance: N/A.,City-run gallery focused on public art & design; not a sales venue.,,,unclaimed,,
Cary Memorial Library - Galleries,library,https://www.carylibrary.org/art,BOS,Lexington,"1874 Massachusetts Ave, Lexington, MA 02420",,https://www.google.com/maps?q=1874%20Massachusetts%20Ave%2C%20Lexington%2C%20MA%2002420,Rolling applications; gallery shows typically two months; Town does not insure artwork; teen gallery has 0% commission.,Rotating exhibits across multiple gallery areas; free public access.,,,unclaimed,,carylibrary.org
Chelmsford Center for the Arts (CCA),gallery - non-profit,https://www.chelmsfordarts.org/gallery,BOS,Chelmsford,"1A North Rd, Chelmsford, MA 01824",,https://www.google.com/maps?q=1A%20North%20Rd%2C%20Chelmsford%2C%20MA%2001824,Calls and gallery proposals announced via site/social; terms vary.,"Town arts center with gallery exhibitions, concerts, and events.",https://www.facebook.com/ChelmsfordArts/,,unclaimed,,chelmsfordarts.org
Chelsea Prospers - Public Art Calls,public art,https://www.chelseaprospers.org/gallery456,BOS,Chelsea,,,,Artists apply to themed calls; terms vary by project.,City cultural initiative producing murals and public-art activations.,https://www.facebook.com/chelseaprospers/,,unclaimed,,chelseaprospers.org
Clark Gallery,gallery - commercial,https://www.clarkgallery.com/,BOS,,,,,,,,,unclaimed,,
Coolidge Corner Arts Festival,market,https://www.coolidgecornerartsfestival.com/,BOS,Brookline (Coolidge Corner),Coolidge Corner area (event footprint varies),MBTA Green Line (C) Coolidge Corner,,,,,,unclaimed,,coolidgecornerartsfestival.com
Custom Art Framing & Gallery,store,https://www.customartframing.com/,BOS,,,,,,,,,unclaimed,,
Dedham Art Association,association,https://www.dedhamartassociation.com/exhibits,BOS,Dedham,,MBTA bus; CR nearby,,,,,,unclaimed,,dedhamartassociation.com
Downtown Boston Arts Market (Downtown Crossing),market,https://www.downtownboston.org/event/downtown-boston-arts-market,BOS,Boston,"Summer St Plaza (between Macy's & Roche Bros.), Boston, MA",All MBTA lines converge (Park/Downtown),,Apply via Marketspread/Downtown Boston Alliance; booth fees vary by date/location; high foot traffic in MBTA hub; bring COI if required.,"Weekly open-air marketplace featuring artisans and makers in the heart of Downtown Crossing, May-Oct; free to browse.",https://www.facebook.com/downtownboston/,https://www.instagram.com/downtownboston/,unclaimed,,downtownboston.org/series/downtown-boston-arts-market
DTR Modern,gallery - commercial,https://www.dtrmodern.com/,BOS,,,,,,,,,unclaimed,,
Duxbury Art Association (DAA) / Winter Juried Show,association,https://www.duxburyart.org/membership,BOS,Duxbury,,,https://www.google.com/maps/search/?api=1&query=Duxbury+Art+Association,Credible jurying; solid audience; craft and fine art opportunities.,Well-attended South Shore juried shows hosted at the Art Complex Museum.,,,unclaimed,,duxburyart.org
Essex County Greenbelt - Art in the Barn,market,https://www.ecga.org/artinthebarn,BOS,Essex,"82 Eastern Ave, Essex, MA 01929",,https://www.google.com/maps?q=82%20Eastern%20Ave%2C%20Essex%2C%20MA%2001929,Annual juried sale; review prospectus for commission and logistics.,Large North Shore art sale benefiting land conservation; strong collector turnout.,,,unclaimed,,ecga.org/artinthebarn
Etsy (marketplace),online,https://www.etsy.com/sell,BOS,Online,,,,Listing fee $0.20 per item; transaction fee 6.5% (plus processing). No curation. Lead time instant.,Massive marketplace for handmade/vintage/art prints & originals.,,,unclaimed,,
UFORGE Gallery,gallery - non-profit,https://www.facebook.com/uforgegallery/,BOS,,,,,,,,,unclaimed,,
Union Square Farmers Market,market,https://www.facebook.com/unionsquaremarkets/,BOS,Somerville,,,,Juried; $30 non-refundable application fee; booth fees vary by date/space. Insurance varies by category. Seasonal lead time.,Busy Saturday market with artisan vendors; high foot traffic.,,,unclaimed,,
Five Crows Gallery & Handcrafted Gifts,store,https://www.fivecrows.com/,BOS,,,,,,,,,unclaimed,,
The Gallery at Atlantic Wharf (FPAC),gallery - non-profit,https://www.fortpointarts.org/gallery-at-atlantic-wharf/,BOS,Boston,"290 Congress St, Boston, MA 02210",,https://www.google.com/maps/search/?api=1&query=290+Congress+St+Boston+MA+02210,Curated from proposals; looks for cohesive concepts; sales managed with 60/40 split (artist/FPAC).,High-visibility waterfront gallery with thematic group shows; open daily via Atlantic Wharf public hours.,,,unclaimed,,fortpointarts.org/gallery-at-atlantic-wharf
Fort Point Open Studios (FPAC),open studios,https://www.fortpointarts.org/open-studios-2/,BOS,Boston (Fort Point/Seaport),300 Summer St / 249 A St / 70 Sleeper St and nearby buildings,MBTA Red/Silver Lines; walkable from South Station,,,,,,unclaimed,,fortpointarts.org/open-studios-2
Midway Gallery (Midway Artist Studios),gallery - non-profit,https://www.fortpointarts.org/programs-2__trashed/galleries__trashed/midway-artist-studios/,BOS,Boston,"15 Channel Center St, Boston, MA 02210",,https://www.google.com/maps/search/?api=1&query=15+Channel+Center+St+Boston+MA+02210,Accepts proposals; align with contemporary themes and community engagement.,Gallery inside an active artist live/work building; frequent exhibitions and Fort Point tie-ins.,,,unclaimed,,fortpointarts.org/programs-2__trashed/galleries__trashed/midway-artist-studios
FPAC Art Space at The Envoy (Fort Point Arts Community),gallery - non-profit,https://www.fortpointarts.org/programs/fpac-space-at-the-envoy-hotel/,BOS,Boston (Fort Point/Seaport),"70 Sleeper St, Boston, MA 02210",MBTA Red Line (South Station) / Silver Line (Courthouse),,,,,,unclaimed,,fortpointarts.org/programs/fpac-space-at-the-envoy-hotel
Frame Center - Gallery (Hanover),gallery - commercial,https://www.framecenter.com/visit-art-gallery/,BOS,Hanover,"152 Rockland St, Hanover, MA 02339",,,Check events/news for exhibit opportunities; contact via site.,Framing business with an active gallery hosting regular exhibits.,,,unclaimed,,framecenter.com
JP Branch Library Gallery (Friends of JP Library),library,https://www.friendsjplibrary.org/gallery,BOS,Jamaica Plain,,,,Annual Call for Proposals; BPL/Friends/Uforge do not insure; sales handled by artists (donations appreciated).,Bi-monthly 2D exhibits curated with Friends/Uforge.,,,unclaimed,,
